"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"26","0.625000","2.7.1","host","USB","35","02001a0000000000","URB_INTERRUPT in"
"27","0.650000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"28","0.675000","2.7.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"29","0.700000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"30","0.725000","2.7.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"31","0.750000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"32","0.775000","2.7.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"33","0.800000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"34","0.825000","2.7.1","host","USB","35","0000070000000000","URB_INTERRUPT in"
"35","0.850000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"36","0.875000","2.7.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"37","0.900000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"38","0.925000","2.7.1","host","USB","35","0200130000000000","URB_INTERRUPT in"
"39","0.950000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"40","0.975000","2.7.1","host","USB","35","0000150000000000","URB_INTERRUPT in"
"41","1.000000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"42","1.025000","2.7.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"43","1.050000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"44","1.075000","2.7.1","host","USB","35","0000170000000000","URB_INTERRUPT in"
"45","1.100000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"46","1.125000","2.7.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"47","1.150000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"48","1.175000","2.7.1","host","USB","35","0000060000000000","URB_INTERRUPT in"
"49","1.200000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"50","1.225000","2.7.1","host","USB","35","0000120000000000","URB_INTERRUPT in"
"51","1.250000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"52","1.275000","2.7.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"53","1.300000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"54","1.325000","2.7.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"55","1.350000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"56","1.375000","2.7.1","host","USB","35","0000240000000000","URB_INTERRUPT in"
"57","1.400000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"58","1.425000","2.7.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"59","1.450000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"60","1.475000","2.7.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"61","1.500000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"62","1.525000","2.7.1","host","USB","35","0000160000000000","URB_INTERRUPT in"
"63","1.550000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"64","1.575000","2.7.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"65","1.600000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"66","1.625000","2.7.1","host","USB","35","0000040000000000","URB_INTERRUPT in"
"67","1.650000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"68","1.675000","2.7.1","host","USB","35","00000f0000000000","URB_INTERRUPT in"
"69","1.700000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"70","1.725000","2.7.1","host","USB","35","00000c0000000000","URB_INTERRUPT in"
"71","1.750000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"72","1.775000","2.7.1","host","USB","35","0000190000000000","URB_INTERRUPT in"
"73","1.800000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"74","1.825000","2.7.1","host","USB","35","0000080000000000","URB_INTERRUPT in"
"75","1.850000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"76","1.875000","2.7.1","host","USB","35","02002d0000000000","URB_INTERRUPT in"
"77","1.900000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"78","1.925000","2.7.1","host","USB","35","00001f0000000000","URB_INTERRUPT in"
"79","1.950000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"80","1.975000","2.7.1","host","USB","35","0000270000000000","URB_INTERRUPT in"
"81","2.000000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"82","2.025000","2.7.1","host","USB","35","00001f0000000000","URB_INTERRUPT in"
"83","2.050000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
"84","2.075000","2.7.1","host","USB","35","0000230000000000","URB_INTERRUPT in"
"85","2.100000","2.7.1","host","USB","35","0000000000000000","URB_INTERRUPT in"
